Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
USA,2023,Ebola,Infectious,5.78,6.79,7.69,0-18,Female,343166,89.58,1.42,3.12,Vaccination,12337,No,87.58,2784,8.44,15726,0.48,79.58
USA,2023,Asthma,Respiratory,11.38,1.84,7.03,36-60,Female,256664,90.49,4.79,2.32,Therapy,26540,Yes,57.61,4855,7.13,21621,0.51,25.23
USA,2024,Measles,Parasitic,14.91,7.16,7.94,61+,Female,339972,70.46,2.48,7.9,Surgery,37969,Yes,53.95,2636,5.3,90851,0.75,22.24
USA,2023,COVID-19,Genetic,17.0,7.03,2.08,19-35,Other,76911,83.45,3.38,9.13,Therapy,4537,No,55.73,1202,4.01,91480,0.51,24.74
USA,2024,Cancer,Parasitic,0.69,14.54,7.8,36-60,Other,957737,68.12,3.22,8.48,Medication,33550,Yes,70.16,2062,3.76,47702,0.41,34.72
USA,2020,Hypertension,Genetic,7.93,2.57,2.76,36-60,Male,669379,67.28,4.32,1.04,Therapy,30847,Yes,61.59,1274,9.11,43283,0.43,73.57
USA,2024,Cancer,Genetic,17.91,12.1,3.97,0-18,Male,960185,75.84,2.01,2.26,Vaccination,4368,Yes,62.42,2025,6.26,32904,0.52,64.29
USA,2023,Alzheimer's Disease,Parasitic,9.87,0.9,0.23,61+,Female,37605,78.55,1.49,8.55,Vaccination,31065,Yes,79.57,1377,3.2,6964,0.8,70.54
USA,2021,HIV/AIDS,Parasitic,4.07,7.77,6.36,36-60,Other,202773,64.95,3.77,5.81,Vaccination,8912,No,61.39,3462,0.81,5969,0.77,26.88
USA,2024,Cancer,Infectious,6.49,5.23,3.11,36-60,Female,48917,58.65,3.31,6.72,Medication,22444,Yes,73.37,1946,9.27,6080,0.46,20.96
USA,2022,Diabetes,Bacterial,1.05,2.49,5.0,0-18,Male,47222,51.71,2.8,0.66,Vaccination,28658,Yes,74.15,2361,5.4,54955,0.75,44.7
USA,2024,Asthma,Viral,3.28,2.25,4.44,0-18,Other,200890,99.53,0.77,2.42,Medication,7870,Yes,66.02,560,3.12,14600,0.6,30.26
USA,2022,Malaria,Respiratory,8.06,12.84,4.79,36-60,Other,211090,61.1,3.66,7.05,Medication,40349,No,84.64,4080,9.48,81763,0.74,87.34
USA,2023,Alzheimer's Disease,Chronic,1.27,7.36,5.22,19-35,Female,770214,79.07,2.36,5.62,Surgery,48144,No,88.26,918,0.76,62158,0.56,33.45
USA,2022,Diabetes,Chronic,12.33,3.2,0.84,36-60,Other,576501,50.71,4.11,6.62,Vaccination,21148,No,67.66,1170,2.93,16394,0.63,36.61
USA,2022,Cancer,Genetic,1.3,5.18,5.09,61+,Other,767327,80.34,1.75,3.65,Medication,12488,No,50.8,3107,8.77,36532,0.57,30.38
USA,2021,Ebola,Neurological,0.94,5.48,2.16,0-18,Male,755184,93.37,4.62,1.36,Vaccination,28623,No,63.37,4541,2.24,49739,0.43,29.1
USA,2020,COVID-19,Genetic,7.98,10.12,1.5,36-60,Other,930826,72.75,2.88,3.17,Vaccination,10106,Yes,62.83,2202,0.8,86823,0.63,56.16
USA,2020,COVID-19,Chronic,0.75,1.61,0.18,36-60,Female,255470,81.03,1.02,4.52,Medication,20153,No,71.62,1149,5.67,47092,0.46,84.39
USA,2024,Tuberculosis,Respiratory,13.17,11.38,3.43,0-18,Male,749698,93.32,3.7,2.78,Medication,23538,No,56.42,4990,4.37,38052,0.55,55.23
USA,2020,Parkinson's Disease,Infectious,2.28,3.39,8.43,19-35,Other,803183,91.81,1.89,6.29,Therapy,19748,Yes,88.43,4038,3.08,17972,0.84,50.19
USA,2024,Measles,Infectious,1.26,1.03,4.15,0-18,Other,58485,68.09,1.7,3.27,Vaccination,31905,No,68.44,1029,0.98,96103,0.87,69.88
USA,2020,Ebola,Viral,17.66,10.28,0.84,61+,Other,587726,61.92,0.58,8.16,Medication,7231,No,74.25,2790,1.4,58234,0.52,39.67
USA,2021,Hepatitis,Infectious,9.99,13.93,4.91,36-60,Other,931006,77.48,4.15,8.39,Vaccination,12225,No,94.98,2574,5.14,19249,0.48,69.75
USA,2021,Diabetes,Genetic,9.38,12.85,3.07,36-60,Female,389031,76.89,2.74,0.61,Medication,22419,No,60.21,2053,3.56,65163,0.73,63.66
USA,2020,Dengue,Viral,7.55,11.06,8.33,61+,Male,963460,90.85,1.29,7.11,Medication,46676,Yes,76.35,4440,6.81,46782,0.83,22.9
USA,2024,Asthma,Viral,19.9,2.96,5.89,0-18,Female,426363,84.18,2.32,8.06,Medication,6442,No,64.94,2371,6.83,17182,0.66,84.98
USA,2021,Measles,Parasitic,15.04,13.65,0.55,0-18,Female,635915,89.31,1.59,6.82,Therapy,9961,Yes,84.43,4006,2.74,29044,0.65,44.39
USA,2024,Malaria,Genetic,17.23,14.26,1.65,19-35,Male,360222,79.16,4.62,6.25,Medication,21522,Yes,58.19,251,6.56,84540,0.77,44.46
USA,2022,Rabies,Viral,6.31,4.82,6.15,19-35,Other,982203,63.76,4.29,4.1,Surgery,30188,Yes,51.76,4962,7.73,79446,0.85,29.25
USA,2020,Leprosy,Respiratory,12.92,5.72,5.8,61+,Male,813344,63.07,3.24,3.21,Vaccination,23650,No,93.21,2178,3.55,28868,0.42,73.95
USA,2023,Hypertension,Cardiovascular,18.63,6.71,7.36,36-60,Other,353741,61.17,2.85,3.8,Vaccination,21732,Yes,85.45,224,2.04,64746,0.79,28.54
USA,2020,Hypertension,Viral,1.69,1.72,8.59,61+,Other,684146,50.58,3.02,1.36,Medication,34506,No,98.29,3918,2.11,17101,0.44,31.97
USA,2021,Ebola,Parasitic,9.3,13.86,8.75,19-35,Male,847827,83.98,2.25,7.95,Medication,2578,No,72.77,3218,5.33,98259,0.69,50.79
USA,2021,Asthma,Infectious,18.8,1.82,6.73,36-60,Other,593781,68.09,3.5,4.05,Therapy,43195,No,52.98,1346,7.73,7454,0.4,44.63
USA,2023,Alzheimer's Disease,Neurological,17.31,0.7,4.87,0-18,Other,980032,59.6,2.15,0.63,Surgery,31664,No,77.84,2542,5.3,20268,0.79,48.28
USA,2024,Influenza,Neurological,13.73,12.14,7.01,19-35,Other,626884,78.31,4.27,7.61,Vaccination,42097,No,62.45,3474,9.07,58388,0.51,57.14
USA,2022,Hepatitis,Autoimmune,16.67,13.09,6.05,61+,Female,189974,84.63,1.28,9.05,Medication,27640,Yes,96.09,4199,1.29,13304,0.44,79.09
USA,2023,Asthma,Metabolic,2.92,14.16,6.78,19-35,Other,848101,88.29,4.24,1.88,Therapy,31108,No,83.66,3970,7.74,45543,0.72,47.6
USA,2021,Alzheimer's Disease,Metabolic,14.65,11.72,3.51,0-18,Other,586255,62.11,3.96,9.18,Medication,10668,Yes,64.36,868,4.89,4693,0.68,23.89
USA,2024,HIV/AIDS,Neurological,5.63,4.56,6.66,61+,Male,166564,55.75,2.59,9.83,Therapy,10471,No,58.43,753,3.58,24855,0.52,28.21
USA,2022,Dengue,Respiratory,17.42,2.47,9.05,61+,Male,757727,80.47,5.0,4.89,Vaccination,30619,Yes,64.01,4693,5.8,98191,0.45,79.49
USA,2020,Hypertension,Respiratory,1.82,1.24,2.89,36-60,Female,8885,78.94,1.82,2.14,Vaccination,13709,No,87.38,3401,6.6,54814,0.57,25.98
USA,2022,Hepatitis,Infectious,4.94,14.22,5.71,36-60,Female,437289,83.35,4.63,4.41,Surgery,18683,No,64.5,1872,7.28,40193,0.9,50.99
USA,2024,Cancer,Viral,10.23,2.45,4.49,61+,Female,955628,88.92,2.59,3.35,Vaccination,33665,Yes,98.43,3405,5.94,22092,0.8,58.04
USA,2023,Measles,Respiratory,19.32,4.11,5.45,61+,Female,975036,50.3,3.79,2.23,Vaccination,11686,No,78.91,3049,5.52,68481,0.81,37.86
USA,2022,Cancer,Metabolic,1.04,13.96,8.97,61+,Other,951663,53.98,3.33,2.73,Therapy,29674,Yes,84.72,3271,5.27,22134,0.46,32.94
USA,2024,Cholera,Metabolic,8.33,10.26,1.66,0-18,Other,523774,70.0,4.37,2.95,Surgery,24581,No,88.64,2653,6.53,85694,0.64,63.94
USA,2020,Alzheimer's Disease,Infectious,6.44,2.47,1.25,61+,Female,604323,53.86,3.54,9.0,Medication,33281,No,80.35,2782,8.62,32498,0.84,31.47
USA,2024,Measles,Infectious,4.58,9.4,1.52,0-18,Other,963026,74.25,3.46,9.16,Medication,40988,Yes,93.33,3913,3.75,44050,0.87,58.67
USA,2023,Cholera,Metabolic,9.03,5.48,3.73,61+,Other,641338,68.64,3.19,1.55,Surgery,35048,No,55.13,507,1.0,82843,0.84,25.35
USA,2022,Dengue,Respiratory,10.79,9.8,7.56,36-60,Female,708265,51.66,2.62,5.34,Surgery,47380,Yes,69.74,4889,8.77,60067,0.79,64.48
USA,2023,Rabies,Genetic,14.48,13.91,5.51,0-18,Female,716362,95.91,2.63,7.41,Therapy,25266,No,84.61,1408,3.18,65570,0.8,54.99
USA,2021,Hepatitis,Metabolic,18.51,7.47,1.57,19-35,Male,912309,77.52,3.38,0.88,Medication,2254,Yes,85.34,2661,9.86,29962,0.57,24.48
USA,2023,Cholera,Neurological,5.37,4.97,6.75,19-35,Other,863181,87.22,3.53,5.18,Surgery,10156,Yes,58.55,4237,7.01,69765,0.61,57.78
USA,2021,Rabies,Chronic,4.51,11.93,8.35,19-35,Female,632953,78.57,3.35,7.99,Surgery,5209,No,50.17,2033,3.88,4063,0.5,36.99
USA,2022,Polio,Respiratory,3.67,1.97,1.54,0-18,Other,531030,61.01,4.17,5.48,Therapy,12519,Yes,60.04,2410,4.76,63507,0.68,30.3
USA,2020,Ebola,Autoimmune,4.18,14.67,4.59,61+,Other,265703,89.39,4.85,5.96,Medication,17038,Yes,78.85,3083,7.73,46021,0.76,33.95
USA,2022,Rabies,Infectious,12.02,14.9,9.71,19-35,Female,219182,55.98,1.08,2.42,Vaccination,34515,No,78.39,4983,0.84,79462,0.5,24.69
USA,2022,Hypertension,Genetic,15.17,9.56,1.58,61+,Male,102659,80.74,0.92,8.68,Therapy,5887,No,96.94,4464,8.17,32692,0.44,75.41
USA,2024,COVID-19,Neurological,5.19,13.27,3.23,19-35,Other,71702,78.89,4.61,9.78,Medication,11979,Yes,72.07,3950,0.22,21958,0.62,25.08
USA,2021,Alzheimer's Disease,Parasitic,13.36,4.67,9.82,61+,Other,944117,54.07,0.79,0.62,Medication,21640,No,83.52,3146,3.48,44112,0.4,87.26
USA,2021,Tuberculosis,Parasitic,1.57,6.85,2.24,0-18,Male,260825,95.06,4.19,2.07,Medication,39371,Yes,76.15,2191,3.42,14054,0.83,52.45
USA,2023,COVID-19,Neurological,3.91,9.0,2.47,19-35,Male,243166,77.01,4.08,3.35,Surgery,14902,Yes,52.32,1020,4.8,87353,0.81,27.57
USA,2021,HIV/AIDS,Autoimmune,17.41,8.77,5.78,36-60,Male,337699,97.57,3.29,1.35,Surgery,40428,No,62.08,4503,3.34,65828,0.45,61.29
USA,2023,Diabetes,Metabolic,15.74,12.6,0.4,19-35,Male,914843,91.83,2.23,8.88,Therapy,9578,No,84.65,2284,4.23,41455,0.78,86.21
USA,2020,Parkinson's Disease,Viral,9.38,5.39,1.83,36-60,Other,249513,60.37,3.79,7.28,Medication,20141,No,87.26,1707,3.03,45923,0.43,56.7
USA,2023,HIV/AIDS,Respiratory,1.68,5.67,2.55,0-18,Other,860736,79.3,4.96,6.08,Surgery,23546,Yes,88.63,4460,7.83,8284,0.78,48.75
USA,2022,HIV/AIDS,Viral,10.59,3.92,5.32,19-35,Female,939763,91.68,2.17,5.79,Therapy,45474,Yes,94.31,3838,1.28,28989,0.47,30.23
USA,2020,HIV/AIDS,Cardiovascular,6.31,12.48,7.73,36-60,Female,975038,57.14,0.74,8.57,Therapy,43271,Yes,60.65,3425,6.83,27699,0.76,58.85
USA,2023,Influenza,Viral,19.82,9.76,3.43,19-35,Male,300565,96.72,3.96,3.06,Vaccination,43791,No,67.12,1253,7.42,67604,0.49,43.46
USA,2021,Tuberculosis,Neurological,19.6,8.83,3.15,19-35,Male,220811,62.31,3.2,7.12,Therapy,48817,Yes,84.92,3061,7.6,26131,0.66,51.34
USA,2022,Rabies,Parasitic,13.54,7.74,1.27,36-60,Other,403107,73.13,3.12,6.55,Vaccination,47818,Yes,50.16,272,5.43,75922,0.88,80.01
USA,2024,Measles,Cardiovascular,1.66,2.58,5.22,19-35,Other,801180,79.67,2.09,7.85,Vaccination,33367,Yes,72.16,1147,9.67,67060,0.41,34.81
USA,2021,Malaria,Neurological,14.5,6.03,2.78,19-35,Other,306490,52.82,0.99,9.69,Vaccination,11261,No,78.72,3725,4.91,69905,0.52,70.94
USA,2020,Influenza,Infectious,7.87,8.4,5.88,0-18,Other,80931,99.29,0.96,6.65,Therapy,29149,Yes,92.75,2246,8.26,42004,0.59,58.73
USA,2022,COVID-19,Parasitic,5.51,1.17,5.91,61+,Other,681988,70.3,4.71,2.64,Therapy,9435,Yes,51.09,4860,9.25,32289,0.64,67.34
USA,2020,Leprosy,Genetic,4.07,2.56,2.44,0-18,Other,147761,54.51,2.14,9.26,Vaccination,18711,Yes,60.15,2787,5.31,36433,0.66,74.23
USA,2023,Dengue,Bacterial,11.6,13.8,1.81,61+,Male,183083,84.18,3.81,8.3,Surgery,4516,No,83.11,4689,9.45,43496,0.62,32.69
USA,2024,Malaria,Viral,19.79,14.4,7.44,36-60,Male,226772,95.47,1.57,1.47,Vaccination,20445,No,57.06,4586,4.21,64582,0.72,63.13
USA,2022,Polio,Respiratory,14.09,0.48,2.13,36-60,Other,803877,74.96,2.36,1.23,Medication,12668,No,53.8,4297,7.09,47435,0.73,78.39
USA,2022,Influenza,Respiratory,14.32,9.46,5.42,0-18,Male,839850,59.79,4.1,3.4,Medication,48153,Yes,97.91,2762,8.02,39517,0.45,21.62
USA,2022,Hepatitis,Respiratory,19.28,0.58,1.66,0-18,Male,355960,91.16,0.67,3.86,Surgery,45018,No,54.75,704,5.88,74693,0.79,60.04
USA,2022,Zika,Autoimmune,17.98,9.87,7.48,0-18,Female,138083,96.31,2.05,2.99,Surgery,19079,Yes,89.28,3239,3.73,79526,0.65,76.5
USA,2021,Parkinson's Disease,Autoimmune,14.36,5.03,3.54,19-35,Male,261293,77.71,0.7,3.13,Therapy,33415,Yes,94.66,1957,2.9,70160,0.42,60.57
USA,2022,Cancer,Metabolic,3.41,11.94,1.21,0-18,Male,365488,50.12,3.04,0.95,Vaccination,2012,Yes,60.88,1195,9.66,61956,0.79,30.73
USA,2022,Diabetes,Metabolic,0.11,2.36,4.79,61+,Female,146719,87.77,3.73,1.78,Therapy,12662,No,93.79,2254,7.7,43227,0.55,86.02
USA,2021,HIV/AIDS,Autoimmune,9.75,7.27,6.19,61+,Other,503991,55.29,2.87,6.82,Medication,10369,Yes,79.9,2549,9.89,84595,0.67,64.29
USA,2021,Ebola,Bacterial,11.12,13.91,2.14,61+,Male,969287,53.57,2.24,8.8,Vaccination,41179,Yes,71.53,51,0.57,59178,0.67,76.28
USA,2022,Influenza,Chronic,9.6,3.11,6.49,19-35,Female,18618,54.88,0.8,3.08,Medication,10772,Yes,57.09,1887,2.63,64385,0.56,69.21
USA,2020,Diabetes,Genetic,18.59,7.33,9.77,0-18,Male,613543,58.13,3.83,6.33,Therapy,33011,Yes,79.76,1852,2.89,37503,0.79,42.26
USA,2022,Ebola,Viral,16.98,7.11,3.62,0-18,Other,188824,53.21,1.17,2.43,Medication,32133,Yes,68.56,3678,8.15,95455,0.64,49.19
USA,2024,Cancer,Bacterial,18.39,12.75,6.67,61+,Male,705229,85.64,2.86,5.08,Surgery,17799,No,75.95,4839,1.26,76853,0.7,82.43
USA,2024,Hypertension,Metabolic,14.19,14.93,2.16,61+,Male,509129,65.68,3.16,8.74,Surgery,2680,Yes,72.21,2949,6.47,25462,0.44,79.31
USA,2023,Cholera,Cardiovascular,5.76,8.21,6.43,61+,Male,378637,53.43,1.45,10.0,Vaccination,39416,No,50.94,1286,6.36,57512,0.7,23.67
USA,2023,Alzheimer's Disease,Respiratory,11.36,13.93,1.41,19-35,Male,198689,78.43,1.65,7.27,Medication,29450,Yes,75.98,3949,0.57,49150,0.54,52.27
USA,2021,Dengue,Neurological,16.25,12.52,9.82,61+,Male,93120,86.41,2.08,2.86,Vaccination,32559,Yes,62.61,913,9.36,95617,0.42,64.56
USA,2021,Leprosy,Bacterial,13.21,12.65,4.75,0-18,Male,720214,90.47,2.09,6.78,Vaccination,21285,Yes,54.75,4632,4.36,74958,0.54,32.36
USA,2024,Influenza,Respiratory,7.41,13.36,0.96,0-18,Female,963949,84.54,4.19,4.03,Therapy,32473,No,95.28,4779,0.72,61450,0.49,68.54
USA,2023,Zika,Cardiovascular,8.37,8.24,8.78,19-35,Female,70681,85.37,3.93,8.32,Vaccination,28830,No,85.38,3233,0.41,84748,0.49,77.09
USA,2023,Rabies,Autoimmune,14.19,13.04,0.67,19-35,Male,411175,54.07,1.93,6.65,Therapy,42132,No,77.82,3772,8.13,15982,0.73,82.45
